Measure,Pre-2009,2009-2013,2014-2016,Post-2016,Measure2,Agency,MortgageType,Date
AVERAGE PRICE,101.2,95.3,87.6,97.2,TOTAL,FNMA,AGENCY CMO P&I,01/02/2019
WEIGHTED AVG. PRICE,102.4,100,98.8,99,TOTAL,FNMA,AGENCY CMO P&I,01/02/2019
AVG. PRICE BOTTOM 5 TRADES,92.5,81.1,78.5,86.1,TOTAL,FNMA,AGENCY CMO P&I,01/02/2019
2ND QUARTILE PRICE,99.6,92,75,97.3,TOTAL,FNMA,AGENCY CMO P&I,01/02/2019
3RD QUARTILE PRICE,101.5,98.4,95,100,TOTAL,FNMA,AGENCY CMO P&I,01/02/2019
4TH QUARTILE PRICE,104.5,101.4,98.6,100,TOTAL,FNMA,AGENCY CMO P&I,01/02/2019
AVG. PRICE TOP 5 TRADES,107.9,103.3,100.8,100.8,TOTAL,FNMA,AGENCY CMO P&I,01/02/2019
STANDARD DEVIATION,4.5,7.2,11.1,9.3,TOTAL,FNMA,AGENCY CMO P&I,01/02/2019
VOLUME OF TRADES (000'S),1213.9,29000.8,6615.2,55676.9,TOTAL,FNMA,AGENCY CMO P&I,01/02/2019
VOLUME OF TRADES (000'S),876.3,5237,4530.8,26902.2,CUSTOMER BUY,FNMA,AGENCY CMO P&I,01/02/2019
VOLUME OF TRADES (000'S),234.8,20586.7,*,*,CUSTOMER SELL,FNMA,AGENCY CMO P&I,01/02/2019
VOLUME OF TRADES (000'S),102.8,3177.1,1489.2,17562.4,DEALER TO DEALER,FNMA,AGENCY CMO P&I,01/02/2019
VOLUME OF TRADES (000'S),1213.9,5691.7,3352.5,1984.2,<= $1MM,FNMA,AGENCY CMO P&I,01/02/2019
VOLUME OF TRADES (000'S),0,*,*,53692.7,<= $10MM,FNMA,AGENCY CMO P&I,01/02/2019
VOLUME OF TRADES (000'S),0,*,0,0,<= $100MM,FNMA,AGENCY CMO P&I,01/02/2019
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FNMA,AGENCY CMO P&I,01/02/2019
NUMBER OF TRADES,96,46,28,32,TOTAL,FNMA,AGENCY CMO P&I,01/02/2019
NUMBER OF TRADES,25,11,9,23,CUSTOMER BUY,FNMA,AGENCY CMO P&I,01/02/2019
NUMBER OF TRADES,43,14,*,*,CUSTOMER SELL,FNMA,AGENCY CMO P&I,01/02/2019
NUMBER OF TRADES,28,21,16,7,DEALER TO DEALER,FNMA,AGENCY CMO P&I,01/02/2019
NUMBER OF TRADES,96,41,26,20,<= $1MM,FNMA,AGENCY CMO P&I,01/02/2019
NUMBER OF TRADES,0,*,*,12,<= $10MM,FNMA,AGENCY CMO P&I,01/02/2019
NUMBER OF TRADES,0,*,0,0,<= $100MM,FNMA,AGENCY CMO P&I,01/02/2019
NUMBER OF TRADES,0,0,0,0,> $100MM,FNMA,AGENCY CMO P&I,01/02/2019
AVERAGE PRICE,101,96.3,91.9,96.8,TOTAL,FHLMC,AGENCY CMO P&I,01/02/2019
WEIGHTED AVG. PRICE,105,101.4,97.7,101.6,TOTAL,FHLMC,AGENCY CMO P&I,01/02/2019
AVG. PRICE BOTTOM 5 TRADES,92.1,85.2,80.2,84.3,TOTAL,FHLMC,AGENCY CMO P&I,01/02/2019
2ND QUARTILE PRICE,99.6,94.4,90,96.5,TOTAL,FHLMC,AGENCY CMO P&I,01/02/2019
3RD QUARTILE PRICE,101.6,97.3,95.6,98.2,TOTAL,FHLMC,AGENCY CMO P&I,01/02/2019
4TH QUARTILE PRICE,104.2,100.5,98,102,TOTAL,FHLMC,AGENCY CMO P&I,01/02/2019
AVG. PRICE TOP 5 TRADES,107.9,103,99,103.8,TOTAL,FHLMC,AGENCY CMO P&I,01/02/2019
STANDARD DEVIATION,4.5,5.4,8.6,6.9,TOTAL,FHLMC,AGENCY CMO P&I,01/02/2019
VOLUME OF TRADES (000'S),2192.4,41051.3,42024.8,108865.5,TOTAL,FHLMC,AGENCY CMO P&I,01/02/2019
VOLUME OF TRADES (000'S),805.4,3801.9,10571.5,12212.1,CUSTOMER BUY,FHLMC,AGENCY CMO P&I,01/02/2019
VOLUME OF TRADES (000'S),1036.4,19093.8,*,86085.1,CUSTOMER SELL,FHLMC,AGENCY CMO P&I,01/02/2019
VOLUME OF TRADES (000'S),350.6,18155.6,30881.3,10568.4,DEALER TO DEALER,FHLMC,AGENCY CMO P&I,01/02/2019
VOLUME OF TRADES (000'S),2192.4,4223.4,1286.1,6476.3,<= $1MM,FHLMC,AGENCY CMO P&I,01/02/2019
VOLUME OF TRADES (000'S),0,*,0,29880.7,<= $10MM,FHLMC,AGENCY CMO P&I,01/02/2019
VOLUME OF TRADES (000'S),0,*,*,*,<= $100MM,FHLMC,AGENCY CMO P&I,01/02/2019
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FHLMC,AGENCY CMO P&I,01/02/2019
NUMBER OF TRADES,131,63,19,36,TOTAL,FHLMC,AGENCY CMO P&I,01/02/2019
NUMBER OF TRADES,22,25,6,13,CUSTOMER BUY,FHLMC,AGENCY CMO P&I,01/02/2019
NUMBER OF TRADES,61,14,*,15,CUSTOMER SELL,FHLMC,AGENCY CMO P&I,01/02/2019
NUMBER OF TRADES,48,24,10,8,DEALER TO DEALER,FHLMC,AGENCY CMO P&I,01/02/2019
NUMBER OF TRADES,131,60,16,26,<= $1MM,FHLMC,AGENCY CMO P&I,01/02/2019
NUMBER OF TRADES,0,*,0,7,<= $10MM,FHLMC,AGENCY CMO P&I,01/02/2019
NUMBER OF TRADES,0,*,*,*,<= $100MM,FHLMC,AGENCY CMO P&I,01/02/2019
NUMBER OF TRADES,0,0,0,0,> $100MM,FHLMC,AGENCY CMO P&I,01/02/2019
AVERAGE PRICE,103.7,96.3,92.2,98.2,TOTAL,GNMA,AGENCY CMO P&I,01/02/2019
WEIGHTED AVG. PRICE,107.7,99.8,96.5,100.4,TOTAL,GNMA,AGENCY CMO P&I,01/02/2019
AVG. PRICE BOTTOM 5 TRADES,91.1,85.2,83.6,93.5,TOTAL,GNMA,AGENCY CMO P&I,01/02/2019
2ND QUARTILE PRICE,101.3,92.2,89.7,97.1,TOTAL,GNMA,AGENCY CMO P&I,01/02/2019
3RD QUARTILE PRICE,104.2,99.3,93.5,99.5,TOTAL,GNMA,AGENCY CMO P&I,01/02/2019
4TH QUARTILE PRICE,106.8,101,97,100,TOTAL,GNMA,AGENCY CMO P&I,01/02/2019
AVG. PRICE TOP 5 TRADES,111.6,103,99.3,100.6,TOTAL,GNMA,AGENCY CMO P&I,01/02/2019
STANDARD DEVIATION,4.7,5.9,5.4,2.5,TOTAL,GNMA,AGENCY CMO P&I,01/02/2019
VOLUME OF TRADES (000'S),2809.9,9416.9,39001.6,636680.2,TOTAL,GNMA,AGENCY CMO P&I,01/02/2019
VOLUME OF TRADES (000'S),779.9,4787.4,18410,606563.7,CUSTOMER BUY,GNMA,AGENCY CMO P&I,01/02/2019
VOLUME OF TRADES (000'S),447,3866.1,1929.2,526.6,CUSTOMER SELL,GNMA,AGENCY CMO P&I,01/02/2019
VOLUME OF TRADES (000'S),1582.9,763.4,18662.4,29589.9,DEALER TO DEALER,GNMA,AGENCY CMO P&I,01/02/2019
VOLUME OF TRADES (000'S),2809.9,3049.8,4557.2,4791.4,<= $1MM,GNMA,AGENCY CMO P&I,01/02/2019
VOLUME OF TRADES (000'S),0,*,*,*,<= $10MM,GNMA,AGENCY CMO P&I,01/02/2019
VOLUME OF TRADES (000'S),0,0,*,195021.6,<= $100MM,GNMA,AGENCY CMO P&I,01/02/2019
