Measure,PRE-2009,2009-2013,2014-2016,POST-2016,Measure2,Agency,MortgageType,Date
AVERAGE PRICE,101.9,98,97.9,98.1,TOTAL,FNMA,AGENCY CMO P&I,20190301
WEIGHTED AVG. PRICE,101,100.4,99.2,99.8,TOTAL,FNMA,AGENCY CMO P&I,20190301
AVG. PRICE BOTTOM 5 TRADES,91,90.1,96.7,82.5,TOTAL,FNMA,AGENCY CMO P&I,20190301
2ND QUARTILE PRICE,99.3,95.1,98.4,98.4,TOTAL,FNMA,AGENCY CMO P&I,20190301
3RD QUARTILE PRICE,100.9,99,98.8,99.4,TOTAL,FNMA,AGENCY CMO P&I,20190301
4TH QUARTILE PRICE,107,99.9,99.3,100,TOTAL,FNMA,AGENCY CMO P&I,20190301
AVG. PRICE TOP 5 TRADES,108.4,108.3,99.6,102.5,TOTAL,FNMA,AGENCY CMO P&I,20190301
STANDARD DEVIATION,4.9,5,3.2,5.4,TOTAL,FNMA,AGENCY CMO P&I,20190301
VOLUME OF TRADES (000'S),7498.4,14600.9,6153.6,198767.4,TOTAL,FNMA,AGENCY CMO P&I,20190301
VOLUME OF TRADES (000'S),5817.8,7306.9,3446.1,165658,CUSTOMER BUY,FNMA,AGENCY CMO P&I,20190301
VOLUME OF TRADES (000'S),1251,1883.7,*,*,CUSTOMER SELL,FNMA,AGENCY CMO P&I,20190301
VOLUME OF TRADES (000'S),429.6,5410.3,*,24625.6,DEALER TO DEALER,FNMA,AGENCY CMO P&I,20190301
VOLUME OF TRADES (000'S),4830.2,1911.6,1078.6,5186.6,<= $1MM,FNMA,AGENCY CMO P&I,20190301
VOLUME OF TRADES (000'S),*,*,*,105636.9,<= $10MM,FNMA,AGENCY CMO P&I,20190301
VOLUME OF TRADES (000'S),0,0,0,*,<= $100MM,FNMA,AGENCY CMO P&I,20190301
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FNMA,AGENCY CMO P&I,20190301
NUMBER OF TRADES,94,59,12,69,TOTAL,FNMA,AGENCY CMO P&I,20190301
NUMBER OF TRADES,33,26,7,55,CUSTOMER BUY,FNMA,AGENCY CMO P&I,20190301
NUMBER OF TRADES,41,8,*,*,CUSTOMER SELL,FNMA,AGENCY CMO P&I,20190301
NUMBER OF TRADES,20,25,*,11,DEALER TO DEALER,FNMA,AGENCY CMO P&I,20190301
NUMBER OF TRADES,93,55,8,41,<= $1MM,FNMA,AGENCY CMO P&I,20190301
NUMBER OF TRADES,*,*,*,24,<= $10MM,FNMA,AGENCY CMO P&I,20190301
NUMBER OF TRADES,0,0,0,*,<= $100MM,FNMA,AGENCY CMO P&I,20190301
NUMBER OF TRADES,0,0,0,0,> $100MM,FNMA,AGENCY CMO P&I,20190301
AVERAGE PRICE,102.7,96.4,97.5,100.9,TOTAL,FHLMC,AGENCY CMO P&I,20190301
WEIGHTED AVG. PRICE,106.2,102.9,101.5,101.2,TOTAL,FHLMC,AGENCY CMO P&I,20190301
AVG. PRICE BOTTOM 5 TRADES,95.7,81.3,90.6,93.3,TOTAL,FHLMC,AGENCY CMO P&I,20190301
2ND QUARTILE PRICE,99.8,93.2,97.9,100.6,TOTAL,FHLMC,AGENCY CMO P&I,20190301
3RD QUARTILE PRICE,101.1,99,99.7,101.8,TOTAL,FHLMC,AGENCY CMO P&I,20190301
4TH QUARTILE PRICE,106.3,101.1,101.4,103.4,TOTAL,FHLMC,AGENCY CMO P&I,20190301
AVG. PRICE TOP 5 TRADES,110.1,106.3,101.9,104.6,TOTAL,FHLMC,AGENCY CMO P&I,20190301
STANDARD DEVIATION,4.2,7,6.1,3.9,TOTAL,FHLMC,AGENCY CMO P&I,20190301
VOLUME OF TRADES (000'S),6149.7,224989.5,19087,307305.4,TOTAL,FHLMC,AGENCY CMO P&I,20190301
VOLUME OF TRADES (000'S),3088.6,2655.9,6692.3,120138,CUSTOMER BUY,FHLMC,AGENCY CMO P&I,20190301
VOLUME OF TRADES (000'S),2160.8,220504.1,*,*,CUSTOMER SELL,FHLMC,AGENCY CMO P&I,20190301
VOLUME OF TRADES (000'S),900.4,1829.4,12384.7,165709.4,DEALER TO DEALER,FHLMC,AGENCY CMO P&I,20190301
VOLUME OF TRADES (000'S),6149.7,4169.1,1784.3,12622.6,<= $1MM,FHLMC,AGENCY CMO P&I,20190301
VOLUME OF TRADES (000'S),0,*,17302.7,73100.1,<= $10MM,FHLMC,AGENCY CMO P&I,20190301
VOLUME OF TRADES (000'S),0,0,0,221582.6,<= $100MM,FHLMC,AGENCY CMO P&I,20190301
VOLUME OF TRADES (000'S),0,*,0,0,> $100MM,FHLMC,AGENCY CMO P&I,20190301
NUMBER OF TRADES,105,54,16,64,TOTAL,FHLMC,AGENCY CMO P&I,20190301
