Mortgage Type,<= 2.5 ,3,3.5,4,4.5,5,> 5.0,Measure,Agency,Date
SINGLE FAMILY 15Y,99.7,101.1,101.6,102.9,102.1,101,*,AVERAGE PRICE,UMBS,20190603
SINGLE FAMILY 15Y,100,101.5,102.9,103.7,103.3,103,*,WEIGHTED AVG. PRICE,UMBS,20190603
SINGLE FAMILY 15Y,98.2,100.1,99.7,101.5,100.2,100,*,AVG. PRICE BOTTOM 5 TRADES,UMBS,20190603
SINGLE FAMILY 15Y,99.2,100.8,101.1,102.4,101.7,99.1,*,2ND QUARTILE PRICE,UMBS,20190603
SINGLE FAMILY 15Y,100,101.5,101.6,103.5,102.3,102.1,*,3RD QUARTILE PRICE,UMBS,20190603
SINGLE FAMILY 15Y,100.2,101.5,102.7,103.5,103,103.2,*,4TH QUARTILE PRICE,UMBS,20190603
SINGLE FAMILY 15Y,100.4,101.8,103,103.9,103.5,102.6,*,AVG. PRICE TOP 5 TRADES,UMBS,20190603
SINGLE FAMILY 15Y,0.7,0.6,1.2,0.8,1.4,1.9,*,STANDARD DEVIATION,UMBS,20190603
SINGLE FAMILY 15Y,57710.7,93771.3,86698,45331.5,935.3,924.9,*,VOLUME OF TRADES (000'S),UMBS,20190603
SINGLE FAMILY 15Y,82,115,69,93,23,10,*,NUMBER OF TRADES,UMBS,20190603
SINGLE FAMILY 15Y,100,101.5,103.5,105.6,0,0,0,AVERAGE PRICE,FNMA,20190603
SINGLE FAMILY 15Y,100.1,101.6,103.2,106.1,0,0,0,WEIGHTED AVG. PRICE,FNMA,20190603
SINGLE FAMILY 15Y,99.3,100.9,102.9,104.6,0,0,0,AVG. PRICE BOTTOM 5 TRADES,FNMA,20190603
SINGLE FAMILY 15Y,99.4,101.5,103.1,105.6,0,0,0,2ND QUARTILE PRICE,FNMA,20190603
SINGLE FAMILY 15Y,100.2,101.6,103.4,106.2,0,0,0,3RD QUARTILE PRICE,FNMA,20190603
SINGLE FAMILY 15Y,100.3,102,104,106.3,0,0,0,4TH QUARTILE PRICE,FNMA,20190603
SINGLE FAMILY 15Y,100.7,101.9,104.2,106.7,0,0,0,AVG. PRICE TOP 5 TRADES,FNMA,20190603
SINGLE FAMILY 15Y,0.6,0.5,0.6,2.4,0,0,0,STANDARD DEVIATION,FNMA,20190603
SINGLE FAMILY 15Y,32799.2,110889.2,34382,16511.5,0,0,0,VOLUME OF TRADES (000'S),FNMA,20190603
SINGLE FAMILY 15Y,19,15,14,9,0,0,0,NUMBER OF TRADES,FNMA,20190603
SINGLE FAMILY 15Y,99.7,101.3,102,102.4,102.4,*,100.9,AVERAGE PRICE,FHLMC,20190603
SINGLE FAMILY 15Y,100.2,101.8,104.7,103.6,103.1,*,101.9,WEIGHTED AVG. PRICE,FHLMC,20190603
SINGLE FAMILY 15Y,98.1,100.2,100.5,101.5,101.3,*,100.9,AVG. PRICE BOTTOM 5 TRADES,FHLMC,20190603
SINGLE FAMILY 15Y,99,101,101.1,101.7,101.9,*,*,2ND QUARTILE PRICE,FHLMC,20190603
SINGLE FAMILY 15Y,100.2,101.8,102.1,103.3,102.4,*,*,3RD QUARTILE PRICE,FHLMC,20190603
SINGLE FAMILY 15Y,100.3,101.9,102.4,103.6,103.1,*,*,4TH QUARTILE PRICE,FHLMC,20190603
SINGLE FAMILY 15Y,100.4,101.9,103.7,103.6,103.6,*,100.9,AVG. PRICE TOP 5 TRADES,FHLMC,20190603
SINGLE FAMILY 15Y,0.9,0.9,1.4,1.4,1.1,*,1.3,STANDARD DEVIATION,FHLMC,20190603
SINGLE FAMILY 15Y,175723.8,15363.4,23989.4,4013.1,595,*,88.3,VOLUME OF TRADES (000'S),FHLMC,20190603
SINGLE FAMILY 15Y,34,22,32,12,16,*,5,NUMBER OF TRADES,FHLMC,20190603
SINGLE FAMILY 15Y,*,101.4,102.9,103.9,103.1,*,*,AVERAGE PRICE,GNMA,20190603
SINGLE FAMILY 15Y,*,101.5,103.2,104.1,103.6,*,*,WEIGHTED AVG. PRICE,GNMA,20190603
SINGLE FAMILY 15Y,*,101.4,102.4,103.5,102.9,*,*,AVG. PRICE BOTTOM 5 TRADES,GNMA,20190603
SINGLE FAMILY 15Y,*,*,102.8,103.8,103,*,*,2ND QUARTILE PRICE,GNMA,20190603
SINGLE FAMILY 15Y,*,*,103.1,104.1,103.9,*,*,3RD QUARTILE PRICE,GNMA,20190603
SINGLE FAMILY 15Y,*,*,103.3,104.2,104.1,*,*,4TH QUARTILE PRICE,GNMA,20190603
SINGLE FAMILY 15Y,*,101.4,103.2,104.2,103.3,*,*,AVG. PRICE TOP 5 TRADES,GNMA,20190603
SINGLE FAMILY 15Y,*,0.5,0.5,0.4,1,*,*,STANDARD DEVIATION,GNMA,20190603
SINGLE FAMILY 15Y,*,3391.5,29854.3,53562,1145.5,*,*,VOLUME OF TRADES (000'S),GNMA,20190603
SINGLE FAMILY 15Y,*,5,11,16,6,*,*,NUMBER OF TRADES,GNMA,20190603
SINGLE FAMILY 30Y,98.7,101,102.1,103.6,105.5,106,106.3,AVERAGE PRICE,UMBS,20190603
SINGLE FAMILY 30Y,98.9,101.5,102.5,103.7,106.3,108,111.6,WEIGHTED AVG. PRICE,UMBS,20190603
SINGLE FAMILY 30Y,97.4,99.6,100.4,101.8,102.9,104.5,102.7,AVG. PRICE BOTTOM 5 TRADES,UMBS,20190603
SINGLE FAMILY 30Y,99,100.5,101.3,103.1,103.9,105.1,105.9,2ND QUARTILE PRICE,UMBS,20190603
SINGLE FAMILY 30Y,99,101,102,103.3,104.6,105.1,106.1,3RD QUARTILE PRICE,UMBS,20190603
SINGLE FAMILY 30Y,99,101.6,102.6,104.2,107.3,107.1,110.5,4TH QUARTILE PRICE,UMBS,20190603
SINGLE FAMILY 30Y,98.9,102.4,103.6,105.5,107.3,109.3,112.7,AVG. PRICE TOP 5 TRADES,UMBS,20190603
SINGLE FAMILY 30Y,1,0.8,0.8,0.9,1.6,1.6,4.6,STANDARD DEVIATION,UMBS,20190603
SINGLE FAMILY 30Y,150383.5,1037671.8,611941,1132102,221288.5,255131.7,4929.1,VOLUME OF TRADES (000'S),UMBS,20190603
SINGLE FAMILY 30Y,22,103,177,262,292,83,34,NUMBER OF TRADES,UMBS,20190603
SINGLE FAMILY 30Y,0,100.5,102.6,104.9,106.7,107.7,106.7,AVERAGE PRICE,FNMA,20190603
SINGLE FAMILY 30Y,0,100.6,102.6,105.1,106.5,108.1,112,WEIGHTED AVG. PRICE,FNMA,20190603
SINGLE FAMILY 30Y,0,100.4,101.5,103.2,105,106,105.8,AVG. PRICE BOTTOM 5 TRADES,FNMA,20190603
SINGLE FAMILY 30Y,0,100.5,102.1,104.1,105.8,106.3,106.8,2ND QUARTILE PRICE,FNMA,20190603
SINGLE FAMILY 30Y,0,100.5,102.6,105.3,107.3,109,108,3RD QUARTILE PRICE,FNMA,20190603
SINGLE FAMILY 30Y,0,100.9,103,105.8,108,109.2,111.5,4TH QUARTILE PRICE,FNMA,20190603
SINGLE FAMILY 30Y,0,100.8,104,106.2,108.2,109.4,109.5,AVG. PRICE TOP 5 TRADES,FNMA,20190603
SINGLE FAMILY 30Y,0,0.3,0.8,1.1,1.4,1.9,5.7,STANDARD DEVIATION,FNMA,20190603
SINGLE FAMILY 30Y,0,869375.1,1153239,1924784.5,635525.5,186978.2,11899,VOLUME OF TRADES (000'S),FNMA,20190603
SINGLE FAMILY 30Y,0,13,42,31,18,10,8,NUMBER OF TRADES,FNMA,20190603
SINGLE FAMILY 30Y,*,100.6,101.8,103.4,104.6,106.7,104.1,AVERAGE PRICE,FHLMC,20190603
SINGLE FAMILY 30Y,*,101.4,102.8,103.8,105.6,109.2,109.5,WEIGHTED AVG. PRICE,FHLMC,20190603
SINGLE FAMILY 30Y,*,99.7,100.5,101.9,103.1,105,101.2,AVG. PRICE BOTTOM 5 TRADES,FHLMC,20190603
SINGLE FAMILY 30Y,*,100.3,101.3,102.8,103.9,105.1,99.2,2ND QUARTILE PRICE,FHLMC,20190603
SINGLE FAMILY 30Y,*,100.6,101.8,103.5,104.2,107.5,108.9,3RD QUARTILE PRICE,FHLMC,20190603
SINGLE FAMILY 30Y,*,101.4,102.5,104.1,105.3,108.8,111.1,4TH QUARTILE PRICE,FHLMC,20190603
SINGLE FAMILY 30Y,*,101.7,103.1,105.4,106.9,109.2,109.2,AVG. PRICE TOP 5 TRADES,FHLMC,20190603
SINGLE FAMILY 30Y,*,0.8,0.8,1,1.1,2.1,5.7,STANDARD DEVIATION,FHLMC,20190603
