Agency,Measure,<=2.5,3,3.5,4,4.5,5,>5.0,SettlementMonth,AssetClassType,AssetClassSubType,Date,SettlementDateChart
FNMA/UMBS,AVERAGE PRICE,100.6,101.9,103.2,103.8,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
FNMA/UMBS,WEIGHTED AVG. PRICE,100.6,101.9,103.2,103.8,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
FNMA/UMBS,AVG. PRICE BOTTOM 5 TRADES,100.6,101.9,103.2,103.8,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
FNMA/UMBS,2ND QUARTILE PRICE,100.6,101.9,103.2,103.8,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
FNMA/UMBS,3RD QUARTILE PRICE,100.6,101.9,103.2,103.8,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
FNMA/UMBS,4TH QUARTILE PRICE,100.7,102.0,103.2,103.9,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
FNMA/UMBS,AVG. PRICE TOP 5 TRADES,100.7,102.0,103.3,103.9,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
FNMA/UMBS,STANDARD DEVIATION,0,0.0,0,0,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
FNMA/UMBS,VOLUME OF TRADES (000'S),3655289,4788574.0,3323188,204550,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
FNMA/UMBS,NUMBER OF TRADES,257,328.0,254,35,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
FHLMC,AVERAGE PRICE,0,0.0,0,0,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
FHLMC,WEIGHTED AVG. PRICE,0,0.0,0,0,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
FHLMC,AVG. PRICE BOTTOM 5 TRADES,0,0.0,0,0,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
FHLMC,2ND QUARTILE PRICE,0,0.0,0,0,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
FHLMC,3RD QUARTILE PRICE,0,0.0,0,0,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
FHLMC,4TH QUARTILE PRICE,0,0.0,0,0,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
FHLMC,AVG. PRICE TOP 5 TRADES,0,0.0,0,0,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
FHLMC,STANDARD DEVIATION,0,0.0,0,0,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
FHLMC,VOLUME OF TRADES (000'S),0,0.0,0,0,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
FHLMC,NUMBER OF TRADES,0,0.0,0,0,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
GNMA,AVERAGE PRICE,0,0.0,0,0,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
GNMA,WEIGHTED AVG. PRICE,0,0.0,0,0,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
GNMA,AVG. PRICE BOTTOM 5 TRADES,0,0.0,0,0,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
GNMA,2ND QUARTILE PRICE,0,0.0,0,0,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
GNMA,3RD QUARTILE PRICE,0,0.0,0,0,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
GNMA,4TH QUARTILE PRICE,0,0.0,0,0,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
GNMA,AVG. PRICE TOP 5 TRADES,0,0.0,0,0,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
GNMA,STANDARD DEVIATION,0,0.0,0,0,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
GNMA,VOLUME OF TRADES (000'S),0,0.0,0,0,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
GNMA,NUMBER OF TRADES,0,0.0,0,0,0.0,0,0,July,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month
FNMA/UMBS,AVERAGE PRICE,100.5,101.9,103.2,*,0.0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 1
FNMA/UMBS,WEIGHTED AVG. PRICE,100.6,101.9,103.2,*,0.0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 1
FNMA/UMBS,AVG. PRICE BOTTOM 5 TRADES,100.3,101.8,103.1,*,0.0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 1
FNMA/UMBS,2ND QUARTILE PRICE,100.5,101.9,103.2,*,0.0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 1
FNMA/UMBS,3RD QUARTILE PRICE,100.6,101.9,103.2,*,0.0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 1
FNMA/UMBS,4TH QUARTILE PRICE,100.6,101.9,103.2,*,0.0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 1
FNMA/UMBS,AVG. PRICE TOP 5 TRADES,100.6,102.0,103.2,*,0.0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 1
FNMA/UMBS,STANDARD DEVIATION,0.2,0.0,0,*,0.0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 1
FNMA/UMBS,VOLUME OF TRADES (000'S),3343894,2948249.0,1250728,*,0.0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 1
FNMA/UMBS,NUMBER OF TRADES,106,63.0,58,*,0.0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 1
FHLMC,AVERAGE PRICE,0,0.0,0,0,0.0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 1
FHLMC,WEIGHTED AVG. PRICE,0,0.0,0,0,0.0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 1
FHLMC,AVG. PRICE BOTTOM 5 TRADES,0,0.0,0,0,0.0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 1
FHLMC,2ND QUARTILE PRICE,0,0.0,0,0,0.0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 1
FHLMC,3RD QUARTILE PRICE,0,0.0,0,0,0.0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 1
FHLMC,4TH QUARTILE PRICE,0,0.0,0,0,0.0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 1
FHLMC,AVG. PRICE TOP 5 TRADES,0,0.0,0,0,0.0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 1
FHLMC,STANDARD DEVIATION,0,0.0,0,0,0.0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 1
FHLMC,VOLUME OF TRADES (000'S),0,0.0,0,0,0.0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 1
FHLMC,NUMBER OF TRADES,0,0.0,0,0,0.0,0,0,August,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,20190701,Current Month + 1
