AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,46,26,238217.1,403,211,559138.1,20190301
NON-AGENCY CMO,IO/PO,0,0,0,*,*,*,20190301
NON-AGENCY CMBS,P&I,141,102,687344.7,16,8,119913,20190301
NON-AGENCY CMBS,IO/PO,0,0,0,5,2,7644,20190301
AGENCY CMBS,P&I,67,43,96217.9,123,76,860683.1,20190301
AGENCY CMBS,IO/PO,*,*,*,6,4,264916.9,20190301
AGENCY CMBS,ABS,347,240,1036199.7,42,29,228129.6,20190301
CBO/CDO/CLO,CBO/CDO/CLO,98,58,617953.9,26,20,80051,20190301
OTHER,OTHER,0,0,0,0,0,0,20190301
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,39,24,79059.1,245,134,99819.9,20190304
NON-AGENCY CMO,IO/PO,0,0,0,*,*,*,20190304
NON-AGENCY CMBS,P&I,138,104,488955.6,31,23,93644.5,20190304
NON-AGENCY CMBS,IO/PO,*,*,*,*,*,*,20190304
AGENCY CMBS,P&I,53,36,145647.8,41,28,183882.2,20190304
AGENCY CMBS,IO/PO,0,0,0,15,8,3194515.2,20190304
AGENCY CMBS,ABS,257,196,906136.1,57,37,184558.3,20190304
CBO/CDO/CLO,CBO/CDO/CLO,27,25,153189,30,20,76677,20190304
OTHER,OTHER,0,0,0,0,0,0,20190304
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,85,52,209682,314,168,199145.2,20190305
NON-AGENCY CMO,IO/PO,0,0,0,0,0,0,20190305
NON-AGENCY CMBS,P&I,146,113,521864.8,58,30,444892.1,20190305
NON-AGENCY CMBS,IO/PO,5,3,34491.4,*,*,*,20190305
AGENCY CMBS,P&I,34,24,30378.1,60,38,353105.8,20190305
AGENCY CMBS,IO/PO,*,*,*,0,0,0,20190305
AGENCY CMBS,ABS,363,256,911468.3,89,68,160831.9,20190305
CBO/CDO/CLO,CBO/CDO/CLO,100,68,451090.4,50,33,131405.7,20190305
OTHER,OTHER,0,0,0,0,0,0,20190305
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,95,51,256326.1,292,134,269346.3,20190306
NON-AGENCY CMO,IO/PO,*,*,*,*,*,*,20190306
NON-AGENCY CMBS,P&I,182,123,493416.3,65,15,1122145.6,20190306
NON-AGENCY CMBS,IO/PO,13,7,481429.6,0,0,0,20190306
AGENCY CMBS,P&I,55,35,387109.3,80,42,557567.9,20190306
AGENCY CMBS,IO/PO,*,*,*,*,*,*,20190306
AGENCY CMBS,ABS,492,343,1364254.4,76,56,130616.8,20190306
CBO/CDO/CLO,CBO/CDO/CLO,144,88,578465.6,73,38,331302.8,20190306
OTHER,OTHER,0,0,0,0,0,0,20190306
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,89,50,165518,432,196,684373.8,20190307
NON-AGENCY CMO,IO/PO,0,0,0,*,*,*,20190307
NON-AGENCY CMBS,P&I,290,193,977799,28,17,93246.6,20190307
NON-AGENCY CMBS,IO/PO,11,6,298453.7,*,*,*,20190307
AGENCY CMBS,P&I,66,36,327167.5,67,48,342869,20190307
AGENCY CMBS,IO/PO,0,0,0,16,9,799088.8,20190307
AGENCY CMBS,ABS,452,308,2328648.2,33,22,61367.8,20190307
CBO/CDO/CLO,CBO/CDO/CLO,89,60,438003,41,26,124893,20190307
OTHER,OTHER,0,0,0,0,0,0,20190307
AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,66,43,134734.4,337,163,150135.9,20190308
