Mortgage Type,<= 2.5 ,3,3.5,4,4.5,5,> 5.0,Measure,Agency,Date
SINGLE FAMILY 15Y,97.9,99.2,100.2,101.2,99.2,*,100.4,AVERAGE PRICE,FNMA,01/02/2019
SINGLE FAMILY 15Y,98.2,99.9,99.9,101.2,104.8,*,107.8,WEIGHTED AVG. PRICE,FNMA,01/02/2019
SINGLE FAMILY 15Y,96.6,97,97.9,99.5,97.2,*,100.4,AVG. PRICE BOTTOM 5 TRADES,FNMA,01/02/2019
SINGLE FAMILY 15Y,97.7,98.6,99.7,99.4,92,*,*,2ND QUARTILE PRICE,FNMA,01/02/2019
SINGLE FAMILY 15Y,98.6,99.7,100.7,101.2,103.4,*,*,3RD QUARTILE PRICE,FNMA,01/02/2019
SINGLE FAMILY 15Y,98.8,100.1,101,102.5,104.5,*,*,4TH QUARTILE PRICE,FNMA,01/02/2019
SINGLE FAMILY 15Y,98.8,100.3,101.5,104.1,103.9,*,100.4,AVG. PRICE TOP 5 TRADES,FNMA,01/02/2019
SINGLE FAMILY 15Y,1.1,1.1,1.1,1.6,6.6,*,8.3,STANDARD DEVIATION,FNMA,01/02/2019
SINGLE FAMILY 15Y,19442.6,40542.2,54829.3,339332.5,3901,*,599.4,VOLUME OF TRADES (000'S),FNMA,01/02/2019
SINGLE FAMILY 15Y,20,48,88,65,8,*,5,NUMBER OF TRADES,FNMA,01/02/2019
SINGLE FAMILY 15Y,97.4,99.7,100.8,101.4,101.2,*,*,AVERAGE PRICE,FHLMC,01/02/2019
SINGLE FAMILY 15Y,97.7,99.7,101.3,102.5,103.6,*,*,WEIGHTED AVG. PRICE,FHLMC,01/02/2019
SINGLE FAMILY 15Y,94.6,99.5,99.9,100.1,101.2,*,*,AVG. PRICE BOTTOM 5 TRADES,FHLMC,01/02/2019
SINGLE FAMILY 15Y,97.6,99.7,100.6,101.8,*,*,*,2ND QUARTILE PRICE,FHLMC,01/02/2019
SINGLE FAMILY 15Y,97.6,99.8,100.8,102.5,*,*,*,3RD QUARTILE PRICE,FHLMC,01/02/2019
SINGLE FAMILY 15Y,97.8,99.8,101.3,102.5,*,*,*,4TH QUARTILE PRICE,FHLMC,01/02/2019
SINGLE FAMILY 15Y,97.9,99.8,101.4,102.5,101.2,*,*,AVG. PRICE TOP 5 TRADES,FHLMC,01/02/2019
SINGLE FAMILY 15Y,1.3,0.2,0.5,1.7,1.7,*,*,STANDARD DEVIATION,FHLMC,01/02/2019
SINGLE FAMILY 15Y,171577.9,387062,63313.1,37265.9,21414.4,*,*,VOLUME OF TRADES (000'S),FHLMC,01/02/2019
SINGLE FAMILY 15Y,58,25,45,15,5,*,*,NUMBER OF TRADES,FHLMC,01/02/2019
SINGLE FAMILY 15Y,*,*,*,*,0,0,*,AVERAGE PRICE,GNMA,01/02/2019
SINGLE FAMILY 15Y,*,*,*,*,0,0,*,WEIGHTED AVG. PRICE,GNMA,01/02/2019
SINGLE FAMILY 15Y,*,*,*,*,0,0,*,AVG. PRICE BOTTOM 5 TRADES,GNMA,01/02/2019
SINGLE FAMILY 15Y,*,*,*,*,0,0,*,2ND QUARTILE PRICE,GNMA,01/02/2019
SINGLE FAMILY 15Y,*,*,*,*,0,0,*,3RD QUARTILE PRICE,GNMA,01/02/2019
SINGLE FAMILY 15Y,*,*,*,*,0,0,*,4TH QUARTILE PRICE,GNMA,01/02/2019
SINGLE FAMILY 15Y,*,*,*,*,0,0,*,AVG. PRICE TOP 5 TRADES,GNMA,01/02/2019
