Mortgage Type,ARM / Seasoned,3/1,5/1,7/1,10/1,Measure,Agency,Date
ARMS/HYBRIDS,*,0,*,*,*,AVERAGE PRICE,FNMA,01/02/2019
ARMS/HYBRIDS,*,0,*,*,*,WEIGHTED AVG. PRICE,FNMA,01/02/2019
ARMS/HYBRIDS,*,0,*,*,*,AVG. PRICE BOTTOM 5 TRADES,FNMA,01/02/2019
ARMS/HYBRIDS,*,0,*,*,*,2ND QUARTILE PRICE,FNMA,01/02/2019
ARMS/HYBRIDS,*,0,*,*,*,3RD QUARTILE PRICE,FNMA,01/02/2019
ARMS/HYBRIDS,*,0,*,*,*,4TH QUARTILE PRICE,FNMA,01/02/2019
ARMS/HYBRIDS,*,0,*,*,*,AVG. PRICE TOP 5 TRADES,FNMA,01/02/2019
ARMS/HYBRIDS,*,0,*,*,*,STANDARD DEVIATION,FNMA,01/02/2019
ARMS/HYBRIDS,*,0,*,*,*,VOLUME OF TRADES (000'S),FNMA,01/02/2019
ARMS/HYBRIDS,*,0,*,*,*,NUMBER OF TRADES,FNMA,01/02/2019
ARMS/HYBRIDS,0,0,0,*,0,AVERAGE PRICE,FHLMC,01/02/2019
ARMS/HYBRIDS,0,0,0,*,0,WEIGHTED AVG. PRICE,FHLMC,01/02/2019
ARMS/HYBRIDS,0,0,0,*,0,AVG. PRICE BOTTOM 5 TRADES,FHLMC,01/02/2019
ARMS/HYBRIDS,0,0,0,*,0,2ND QUARTILE PRICE,FHLMC,01/02/2019
ARMS/HYBRIDS,0,0,0,*,0,3RD QUARTILE PRICE,FHLMC,01/02/2019
ARMS/HYBRIDS,0,0,0,*,0,4TH QUARTILE PRICE,FHLMC,01/02/2019
ARMS/HYBRIDS,0,0,0,*,0,AVG. PRICE TOP 5 TRADES,FHLMC,01/02/2019
ARMS/HYBRIDS,0,0,0,*,0,STANDARD DEVIATION,FHLMC,01/02/2019
ARMS/HYBRIDS,0,0,0,*,0,VOLUME OF TRADES (000'S),FHLMC,01/02/2019
ARMS/HYBRIDS,0,0,0,*,0,NUMBER OF TRADES,FHLMC,01/02/2019
ARMS/HYBRIDS,99.5,0,101.4,0,0,AVERAGE PRICE,GNMA,01/02/2019
ARMS/HYBRIDS,99.5,0,102,0,0,WEIGHTED AVG. PRICE,GNMA,01/02/2019
ARMS/HYBRIDS,99.5,0,100.8,0,0,AVG. PRICE BOTTOM 5 TRADES,GNMA,01/02/2019
ARMS/HYBRIDS,*,0,101.4,0,0,2ND QUARTILE PRICE,GNMA,01/02/2019
