AssetClass,AssetClass2,IGTradeCount,IGUniqueID,IG$Trades,HYTradeCount,HYUniqueID,HY$Trades,Date
NON-AGENCY CMO,P&I,44,19,7959.3,260,89,58451.6,1/2/2019
NON-AGENCY CMO,IO/PO,*,*,*,*,*,*,1/2/2019
NON-AGENCY CMBS,P&I,74,53,105449.1,9,6,10141.2,1/2/2019
NON-AGENCY CMBS,IO/PO,0,0,0,*,*,*,1/2/2019
AGENCY CMBS,P&I,50,28,145200.8,54,29,100110.4,1/2/2019
AGENCY CMBS,IO/PO,0,0,0,0,0,0,1/2/2019
AGENCY CMBS,ABS,315,221,444512.2,42,21,35306.8,1/2/2019
CBO/CDO/CLO,CBO/CDO/CLO,18,14,49717,8,5,24500,1/2/2019
OTHER,OTHER,0,0,0,0,0,0,1/2/2019
NON-AGENCY CMO,P&I,60,39,21725.2,397,161,147488.4,1/3/2019
NON-AGENCY CMO,IO/PO,*,*,*,*,*,*,1/3/2019
NON-AGENCY CMBS,P&I,142,92,334866.6,21,13,88064.2,1/3/2019
NON-AGENCY CMBS,IO/PO,0,0,0,*,*,*,1/3/2019
AGENCY CMBS,P&I,49,34,75762.3,67,38,89406.6,1/3/2019
AGENCY CMBS,IO/PO,0,0,0,*,*,*,1/3/2019
AGENCY CMBS,ABS,327,211,1114667.4,49,33,146811.9,1/3/2019
CBO/CDO/CLO,CBO/CDO/CLO,15,13,40145.8,20,15,132675.8,1/3/2019
OTHER,OTHER,0,0,0,0,0,0,1/3/2019
NON-AGENCY CMO,P&I,49,27,61210,277,151,162725.9,1/4/2019
NON-AGENCY CMO,IO/PO,0,0,0,*,*,*,1/4/2019
NON-AGENCY CMBS,P&I,181,126,705877.3,16,10,36242.2,1/4/2019
NON-AGENCY CMBS,IO/PO,8,7,149566.7,0,0,0,1/4/2019
AGENCY CMBS,P&I,49,31,122411.3,63,34,325053.1,1/4/2019
AGENCY CMBS,IO/PO,0,0,0,0,0,0,1/4/2019
AGENCY CMBS,ABS,470,297,1236862.8,64,47,187077.5,1/4/2019
CBO/CDO/CLO,CBO/CDO/CLO,49,42,163915.6,42,28,91603.5,1/4/2019
OTHER,OTHER,0,0,0,0,0,0,1/4/2019
NON-AGENCY CMO,P&I,204,111,170881.2,288,153,227757.3,1/7/2019
NON-AGENCY CMO,IO/PO,0,0,0,0,0,0,1/7/2019
NON-AGENCY CMBS,P&I,175,126,688600.9,25,13,71841.3,1/7/2019
NON-AGENCY CMBS,IO/PO,5,4,118092.8,0,0,0,1/7/2019
AGENCY CMBS,P&I,64,48,165356.9,86,57,303147.9,1/7/2019
AGENCY CMBS,IO/PO,0,0,0,0,0,0,1/7/2019
AGENCY CMBS,ABS,387,297,954563.2,63,40,165256.1,1/7/2019
CBO/CDO/CLO,CBO/CDO/CLO,59,39,282931.8,23,15,67444.5,1/7/2019
OTHER,OTHER,0,0,0,0,0,0,1/7/2019
NON-AGENCY CMO,P&I,98,62,112830,321,176,235880.9,1/8/2019
NON-AGENCY CMO,IO/PO,0,0,0,0,0,0,1/8/2019
NON-AGENCY CMBS,P&I,292,173,770038.7,29,19,70136.4,1/8/2019
NON-AGENCY CMBS,IO/PO,6,4,394487.9,*,*,*,1/8/2019
AGENCY CMBS,P&I,48,34,98298.7,84,50,358036,1/8/2019
AGENCY CMBS,IO/PO,0,0,0,*,*,*,1/8/2019
AGENCY CMBS,ABS,501,323,1235979.3,64,42,456493.9,1/8/2019
CBO/CDO/CLO,CBO/CDO/CLO,84,49,403260.9,29,21,152885.8,1/8/2019
OTHER,OTHER,0,0,0,0,0,0,1/8/2019
NON-AGENCY CMO,P&I,59,41,77698.8,334,151,265696.1,1/9/2019
NON-AGENCY CMO,IO/PO,0,0,0,*,*,*,1/9/2019
NON-AGENCY CMBS,P&I,179,119,562448.1,20,15,70674.6,1/9/2019
NON-AGENCY CMBS,IO/PO,*,*,*,7,4,137381,1/9/2019
AGENCY CMBS,P&I,31,22,164118.6,79,46,379751.5,1/9/2019
