Agency,Measure,<=2.5,3,3.5,4,4.5,5,>5.0,SettlementMonth,AssetClassType,AssetClassSubType,Date,SettlementDateChart
FNMA,AVERAGE PRICE,97.8,99.9,101.3,102.4,0,0,0,January,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,01/02/2019,Current Month
FNMA,WEIGHTED AVG. PRICE,97.8,99.9,101.2,102.4,0,0,0,January,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,01/02/2019,Current Month
FNMA,AVG. PRICE BOTTOM 5 TRADES,97.7,99.8,101.2,102.3,0,0,0,January,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,01/02/2019,Current Month
FNMA,2ND QUARTILE PRICE,97.8,99.8,101.2,102.3,0,0,0,January,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,01/02/2019,Current Month
FNMA,3RD QUARTILE PRICE,97.8,99.9,101.3,102.4,0,0,0,January,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,01/02/2019,Current Month
FNMA,4TH QUARTILE PRICE,97.8,99.9,101.3,102.4,0,0,0,January,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,01/02/2019,Current Month
FNMA,AVG. PRICE TOP 5 TRADES,97.9,99.9,101.3,102.4,0,0,0,January,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,01/02/2019,Current Month
FNMA,STANDARD DEVIATION,0,0,0,0,0,0,0,January,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,01/02/2019,Current Month
FNMA,VOLUME OF TRADES (000'S),543193,2275394.3,3002132,806725,0,0,0,January,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,01/02/2019,Current Month
FNMA,NUMBER OF TRADES,79,257,274,88,0,0,0,January,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,01/02/2019,Current Month
FHLMC,AVERAGE PRICE,97.7,99.7,101.2,102.4,0,0,0,January,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,01/02/2019,Current Month
FHLMC,WEIGHTED AVG. PRICE,97.6,99.7,101.2,102.3,0,0,0,January,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,01/02/2019,Current Month
FHLMC,AVG. PRICE BOTTOM 5 TRADES,97.6,99.7,101.2,102.4,0,0,0,January,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,01/02/2019,Current Month
FHLMC,2ND QUARTILE PRICE,97.6,99.7,101.2,102.3,0,0,0,January,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,01/02/2019,Current Month
FHLMC,3RD QUARTILE PRICE,97.7,99.7,101.2,102.4,0,0,0,January,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,01/02/2019,Current Month
FHLMC,4TH QUARTILE PRICE,97.7,99.8,101.2,102.4,0,0,0,January,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,01/02/2019,Current Month
FHLMC,AVG. PRICE TOP 5 TRADES,97.7,99.7,101.2,102.4,0,0,0,January,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,01/02/2019,Current Month
FHLMC,STANDARD DEVIATION,0,0,0,0,0,0,0,January,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,01/02/2019,Current Month
FHLMC,VOLUME OF TRADES (000'S),223387.2,468369.1,1059625,81037.2,0,0,0,January,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,01/02/2019,Current Month
FHLMC,NUMBER OF TRADES,14,16,29,13,0,0,0,January,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,01/02/2019,Current Month
GNMA,AVERAGE PRICE,0,0,0,0,0,0,0,January,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,01/02/2019,Current Month
GNMA,WEIGHTED AVG. PRICE,0,0,0,0,0,0,0,January,"AGENCY PASS-THRU (TBA, STIP, $ ROLLS)",SINGLE FAMILY 15Y,01/02/2019,Current Month
